Frequency (Hz),Realised Gain (dB),Antenna Factor (dB),S11 (dB)
191428571.4,1.488717325,14.37141784,-7.823970745
192190476.2,2.267345604,13.62729165,-9.337934394
192952381,2.95070645,12.97829639,-9.660597186
193714285.7,3.478933518,12.48429947,-9.510489906
194476190.5,3.879065333,12.11826344,-9.276358212
195238095.2,4.212730385,11.81856085,-9.040066129
196000000,4.526563166,11.53855826,-8.868329651
196761904.8,4.737632743,11.36118762,-8.880423276
197523809.5,4.81154125,11.32084781,-9.022855598
198285714.3,4.745536326,11.4202922,-9.275819957
199047619,4.631401608,11.56773813,-9.62041907
199809523.8,4.56594986,11.66637384,-10.05736008
200571428.6,4.591304644,11.67407671,-10.5048082
201333333.3,4.705884511,11.59242917,-10.9428851
202095238.1,4.866847727,11.46427388,-11.35535746
202857142.9,5.048031455,11.31577463,-11.70446011
203619047.6,5.241263233,11.1551048,-12.03880693
204380952.4,5.447226887,10.98158148,-12.3954198
205142857.1,5.644986112,10.81614189,-12.78533813
205904761.9,5.791957506,10.7013703,-13.20833813
206666666.7,5.870364796,10.6550439,-13.69336053
207428571.4,5.886698815,10.67067271,-14.17105138
208190476.2,5.872700514,10.71651666,-14.60493162
208952381,5.826181609,10.79476487,-14.94516111
209714285.7,5.789680251,10.86288006,-15.01209592
210476190.5,5.781560128,10.90249936,-15.13040397
211238095.2,5.838170419,10.87727444,-15.24060459
212000000,5.895148103,10.85156912,-15.24110628
212761904.8,5.916020913,10.86185648,-15.15909282
213523809.5,5.845758005,10.96316818,-15.02858475
214285714.3,5.703797666,11.13606672,-14.88356787
215047619,5.526798059,11.34389471,-14.75475948
215809523.8,5.380114365,11.52129776,-14.68072368
216571428.6,5.311565899,11.62045733,-14.58618111
217333333.3,5.315726201,11.64680062,-14.46059385
218095238.1,5.358151395,11.63477227,-14.28848651
218857142.9,5.402740775,11.62047373,-14.00862051
219619047.6,5.416476692,11.63692339,-13.5742995
220380952.4,5.350228497,11.73325261,-12.98740896
221142857.1,5.118378551,11.99507978,-12.24847962
221904761.9,4.602994531,12.54033791,-11.35739503
222666666.7,3.674672782,13.49843137,-10.34776724
223428571.4,2.407707879,14.7950663,-9.408840234
224190476.2,1.272450489,15.9598927,-8.772505276
224952381,0.950934879,16.31087701,-8.839463522
225714285.7,1.806468327,15.48471261,-10.83232591
226476190.5,3.252790551,14.06766047,-14.58000033
227238095.2,4.53924617,12.81037664,-19.93668111
228000000,5.360661804,12.01803514,-26.6863036
228761904.8,5.755868426,11.65180565,-23.03343381
229523809.5,5.899610794,11.53694408,-19.94422712
230285714.3,5.913636381,11.55170357,-17.70497797
231047619,5.881668549,11.6123614,-16.50117541
231809523.8,5.867632997,11.6549925,-15.98539573
232571428.6,5.877666053,11.67346116,-15.76963377
233333333.3,5.884511638,11.69502407,-15.79330413
234095238.1,5.858862937,11.74898865,-16.01897693
234857142.9,5.794234993,11.84184047,-16.4038289
235619047.6,5.701667574,11.96254035,-16.86644442
236380952.4,5.580496631,12.11175293,-17.39344163
237142857.1,5.464026761,12.2561742,-17.9953803
237904761.9,5.412301388,12.33576131,-18.72084154
238666666.7,5.486977744,12.28885761,-19.63027696
239428571.4,5.667275377,12.13624411,-20.71088099
240190476.2,5.881180323,11.94993534,-21.93280089
240952381,6.071598016,11.78702643,-23.24059976
241714285.7,6.210349738,11.67569664,-24.32692232
242476190.5,6.312629863,11.60075214,-25.13829893
243238095.2,6.392582337,11.54804954,-25.61313603
244000000,6.488446736,11.47934979,-25.69102496
244761904.8,6.594184693,11.40069179,-25.45528946
245523809.5,6.693675777,11.3281965,-25.11236731
246285714.3,6.76072468,11.28805975,-24.89019073
247047619,6.792812101,11.28280135,-24.97232864
247809523.8,6.801753249,11.30060661,-25.38251484
248571428.6,6.794750708,11.33427346,-26.08675568
249333333.3,6.769761109,11.38584575,-27.01062281
250095238.1,6.697123156,11.4849853,-28.22311124
250857142.9,6.55313633,11.6553931,-30.3614759
251619047.6,6.351104289,11.883766,-36.22842057
252380952.4,6.151820366,12.10931113,-38.36400846
253142857.1,6.031420526,12.25589302,-35.03123735
253904761.9,6.01836952,12.2950474,-27.90003658
254666666.7,6.085380658,12.25406142,-23.96091305
255428571.4,6.162366701,12.20302279,-21.16714669
256190476.2,6.190949444,12.20031017,-19.00333272
256952381,6.133290164,12.28376276,-17.12090166
257714285.7,6.004625885,12.43814398,-15.41033001
258476190.5,5.837625027,12.63078586,-13.8203864
259238095.2,5.675322702,12.81865373,-12.34721578
260000000,5.508364462,13.0111025,-10.98684038
260761904.8,5.24165234,13.30323055,-9.822127289
